----  RESULTS  ----

 - 12,446.0292 [ms]
 - 12,856.4735 [ms]
 - 12,174.0972 [ms]
 - 12,187.7598 [ms]
 - 12,173.6461 [ms]
 - 12,258.1529 [ms]
 - 13,051.2496 [ms]
 - 12,241.2016 [ms]
 - 12,189.7281 [ms]
 - 12,173.3316 [ms]


 Best Time:     12,173.3316 [ms]

 Worst Time:    13,051.2496 [ms]

 Average Time:  12,375.1669 [ms]
