----  RESULTS  ----

 - 2,466.8098 [ms]
 - 2,449.3621 [ms]
 - 2,467.1540 [ms]
 - 2,449.2841 [ms]
 - 2,446.5808 [ms]
 - 2,445.5402 [ms]
 - 2,459.7961 [ms]
 - 2,448.7065 [ms]
 - 2,448.3619 [ms]
 - 2,446.7229 [ms]


 Best Time:     2,445.5402 [ms]

 Worst Time:    2,467.1540 [ms]

 Average Time:  2,452.8318 [ms]
