----  RESULTS  ----

 - 6,187.9382 [ms]
 - 6,125.2939 [ms]
 - 6,123.6975 [ms]
 - 6,116.9836 [ms]
 - 6,119.1364 [ms]
 - 6,128.1831 [ms]
 - 6,117.6841 [ms]
 - 6,303.1469 [ms]
 - 6,683.5520 [ms]
 - 6,241.5823 [ms]


 Best Time:     6,116.9836 [ms]

 Worst Time:    6,683.5520 [ms]

 Average Time:  6,214.7198 [ms]
